Roll No,Name,Score,Status,Login Time,Logout Time
91137,Hrithik Kumar,3,Cheated,20:51:36,20:58:12
91137,Hrithik Kumar,3,Cheated,20:51:36,21:26:03
91137,Hrithik Kumar,0,Cheated,20:51:36,22:53:02
91137,Hrithik Kumar,0,Cheated,20:51:36,22:53:02
91137,Hrithik Kumar,4,Not Cheated,23:23:33,23:24:13
91137,Hrithik Kumar,3,Not Cheated,23:23:33,23:26:06
91137,Hrithik Kumar,3,Not Cheated,23:30:13,23:30:39
91137,Hrithik Kumar,3,Not Cheated,00:21:30,00:21:57
898683,abc,0,Not Cheated,00:25:16,00:25:21
898683,abc,0,Not Cheated,00:25:16,00:25:21
898683,abc,0,Not Cheated,00:26:56,00:27:00
91137,Hrithik Kumar,0,Not Cheated,00:28:45,00:28:51
91137,Hrithik Kumar,0,Not Cheated,00:28:45,00:28:52
91137,Hrithik Kumar,0,Not Cheated,00:28:45,00:42:45
91137,Hrithik Kumar,0,Not Cheated,00:28:45,00:42:47
898683,abc,0,Not Cheated,01:51:00,01:51:18
898683,abc,0,Not Cheated,01:51:00,01:51:20
91137,Hrithik Kumar,0,Not Cheated,02:07:18,02:07:47
91137,Hrithik Kumar,0,Not Cheated,02:07:18,02:07:49
898683,abc,0,Not Cheated,11:04:38,11:04:46
898683,abc,0,Not Cheated,11:04:38,11:04:48
898683,abc,3,Cheated,11:11:32,11:12:17
91137,Hrithik Kumar,3,Not Cheated,02:07:18,11:19:37
898683,abc,3,Not Cheated,11:11:32,11:22:02
898683,abc,3,Not Cheated,11:11:32,11:36:44
898683,abc,3,Cheated,11:11:32,11:41:09
